cases.0.samples.0.sample_id	cases.0.samples.0.submitter_id	cases.0.submitter_id	file_name	id
bc08b757-ed0a-44c0-88cd-85496bb72a75	TCGA-AA-3518-01A	TCGA-AA-3518	988eba37-1b57-4740-b0ba-9491b57421ab.htseq.counts.gz	c2b8acf9-6f13-4e37-8dd0-d7d054e6da20
9493c0b9-d2b3-4163-8a4e-ac9deb127045	TCGA-DM-A28H-01A	TCGA-DM-A28H	baf57a44-5eb7-4fdb-bbf6-ee006a122360.htseq.counts.gz	ba99400a-5d82-4a26-a6b5-92255e742d19
807b3096-9816-41ac-8fdc-dcf12ba5b4cd	TCGA-AZ-6599-11A	TCGA-AZ-6599	a42c7fc3-4f41-4b15-b1ec-2108fa916f6a.FPKM.txt.gz	6bd4d7b4-8e6a-4cd6-9142-f464c463343a
d9dc4eb1-ca9d-4f1a-8db9-46d3ab600210	TCGA-G4-6627-01A	TCGA-G4-6627	a046b793-0eda-4c57-adfe-b8800ece1dab.FPKM.txt.gz	a9e572a9-e86e-4b27-be86-d3f1db706f11
5321bcc9-a2a0-4671-875a-b1153ff47e13	TCGA-AZ-6603-01A	TCGA-AZ-6603	c868cbd9-3767-4f6e-8fa2-770d80cf2b05.FPKM-UQ.txt.gz	a6a67592-83de-4afd-b5e4-4e4d96797302
9f5ad422-c94d-4914-b6f0-071596ecb589	TCGA-NH-A50T-01A	TCGA-NH-A50T	e52b5fe4-cdde-4176-a495-bff7c0f130bf.FPKM-UQ.txt.gz	87eb5747-389d-4b61-bbd5-9ff74f9168bb
cac671b1-b9d0-484b-9add-fd935d4efc93	TCGA-NH-A6GA-01A	TCGA-NH-A6GA	587e44e4-87ba-4981-a520-d20612486f53.htseq.counts.gz	e0aa6308-2b31-4b4d-8768-6df0fa83d189
a0d03ed1-358a-45ce-a26a-f16d6ffa6050	TCGA-CK-5916-01A	TCGA-CK-5916	81903241-4091-45eb-baf1-90b10b727208.FPKM.txt.gz	26136dcd-9007-4a74-b362-21f0c37da898
6a0f2a2f-64e7-4578-a7e1-f02bf6d96f23	TCGA-AH-6549-01A	TCGA-AH-6549	7adb9e76-26da-4812-9357-f8ba01a6daa9.FPKM.txt.gz	b3e722ea-4eeb-468e-ad5c-e35e193665be
0c931d36-e5d4-4953-a627-20c8fa99e43a	TCGA-AH-6643-01A	TCGA-AH-6643	73ec7da0-133a-4ce6-8035-213ab55fb923.htseq.counts.gz	dea0e3f0-7163-4a09-8ef2-93d29a5bcae9
ce252c3d-5cf3-46bc-a181-3714d1c65e4e	TCGA-AF-2691-01A	TCGA-AF-2691	99a43c6b-1c71-4cca-abd1-90efb88351c9.FPKM-UQ.txt.gz	5a931525-d38e-4d42-ae77-bcb9ba7a9c4f
0fbbfa5e-f2c3-4cc1-aeb3-456bd307cb85	TCGA-D5-6529-01A	TCGA-D5-6529	df2df36d-6652-4eec-b62a-ea99af075cb6.FPKM.txt.gz	1004ae6c-8825-4487-8b7d-0eac8d22d414
a545fb9a-c386-4a80-9a25-660dc4f62904	TCGA-CM-4744-01A	TCGA-CM-4744	1f5ff5c6-64a8-4214-b304-634aae40202a.FPKM.txt.gz	7f1aa1b3-2050-40de-8695-c2919f60cfdb
a519f8a7-a83e-4e07-83aa-eed4bcd37266	TCGA-CA-6716-01A	TCGA-CA-6716	9c64a139-1417-4465-8472-b44182874b0a.htseq.counts.gz	2a798f67-1c22-4768-a278-101f0927c414
769636c2-faba-47fe-b2a0-c95693252d06	TCGA-AF-2690-01A	TCGA-AF-2690	6d0133ed-95f5-4338-b7fa-f1fd9b1de7f0.FPKM-UQ.txt.gz	0b10af02-8ecc-4415-b656-88d3e9fba313
0cc81cab-71a5-4538-88b9-6a2d631aac88	TCGA-AG-4021-01A	TCGA-AG-4021	40349596-c455-41e5-b633-aa858711fc40.FPKM-UQ.txt.gz	415704bb-3a94-49fe-8d49-b20bac39f5b0
03877fe0-b0d6-4800-be46-b45c70350e48	TCGA-DC-6158-01A	TCGA-DC-6158	aa4a76e4-5348-479c-8beb-3e4e34e18ce9.FPKM-UQ.txt.gz	3db9f103-593f-42ef-add3-0760b0e97233
8797b65c-6e94-4c94-8f9d-4605d3a193b4	TCGA-G5-6235-01A	TCGA-G5-6235	5530efde-0749-41ed-a74d-7c8f1f07c06a.FPKM-UQ.txt.gz	2b7950e4-f4fe-47b7-bdaa-bf83dadc0042
636e158c-a283-49f1-bb36-d69ebd4b6311	TCGA-DY-A1DD-01A	TCGA-DY-A1DD	53d31c62-229f-438f-b603-263bc01e4bf9.FPKM-UQ.txt.gz	6e25f85d-17f8-41dc-9eb6-6ee4d25c7505
54aad2df-8ee1-474f-8d94-858cfca51970	TCGA-A6-5659-11A	TCGA-A6-5659	d60b1d68-c859-43af-b9bd-1a7dae06c804.FPKM-UQ.txt.gz	d9b46c8c-f0a9-4dc8-8c3d-b50c43a8078b
b35229f7-d11e-4357-ab86-53e9a5867f55	TCGA-F4-6704-01A	TCGA-F4-6704	dade0b16-ecc3-43b3-b328-3819a8fc18c6.htseq.counts.gz	2c3fd34c-70d1-4331-9628-260b77329b53
288c3d74-c236-4985-a01c-e39ccca065da	TCGA-AA-3496-01A	TCGA-AA-3496	c6972d82-17ef-4d72-8827-a5305d55f784.FPKM.txt.gz	4843dfb6-3e67-451e-897e-d4fbcfafd52c
0fbbfa5e-f2c3-4cc1-aeb3-456bd307cb85	TCGA-D5-6529-01A	TCGA-D5-6529	df2df36d-6652-4eec-b62a-ea99af075cb6.FPKM-UQ.txt.gz	3a937969-b535-4c73-82dd-c3e78c71f524
ec9fc2bb-859d-4a11-8a12-e109075eff8c	TCGA-A6-2684-01C	TCGA-A6-2684	29dab10a-a0a0-4dbd-b574-97c22b70a3f1.FPKM-UQ.txt.gz	461ceb13-836e-48e3-81f2-086d852c36b6
9f5ad422-c94d-4914-b6f0-071596ecb589	TCGA-NH-A50T-01A	TCGA-NH-A50T	e52b5fe4-cdde-4176-a495-bff7c0f130bf.htseq.counts.gz	612020fb-4d45-4d3f-bae8-214e10b5ee31
